location,date,new_cases
Abra,2020-03-14,1
Abra,2020-03-15,0
Abra,2020-03-16,0
Abra,2020-03-17,0
Abra,2020-03-18,0
Abra,2020-03-19,0
Abra,2020-03-20,0
Abra,2020-03-21,0
Abra,2020-03-22,0
Abra,2020-03-23,0
Abra,2020-03-24,0
Abra,2020-03-25,0
Abra,2020-03-26,0
Abra,2020-03-27,0
Abra,2020-03-28,0
Abra,2020-03-29,0
Abra,2020-03-30,0
Abra,2020-03-31,0
Abra,2020-04-01,0
Abra,2020-04-02,1
Abra,2020-04-03,0
Abra,2020-04-04,0
Abra,2020-04-05,0
Abra,2020-04-06,1
Agusan del Norte,2020-04-08,1
Agusan del Norte,2020-04-09,0
Agusan del Norte,2020-04-10,0
Agusan del Norte,2020-04-11,0
Agusan del Norte,2020-04-12,0
Agusan del Norte,2020-04-13,0
Agusan del Norte,2020-04-14,0
Agusan del Norte,2020-04-15,0
Agusan del Norte,2020-04-16,0
Agusan del Norte,2020-04-17,0
Agusan del Norte,2020-04-18,0
Agusan del Norte,2020-04-19,1
Agusan del Norte,2020-04-20,0
Agusan del Norte,2020-04-21,0
Agusan del Norte,2020-04-22,0
Agusan del Norte,2020-04-23,1
Aklan,2020-03-28,3
Aklan,2020-03-29,0
Aklan,2020-03-30,0
Aklan,2020-03-31,0
Aklan,2020-04-01,0
Aklan,2020-04-02,0
Aklan,2020-04-03,2
Aklan,2020-04-04,0
Aklan,2020-04-05,0
Aklan,2020-04-06,0
Aklan,2020-04-07,0
Aklan,2020-04-08,0
Aklan,2020-04-09,0
Aklan,2020-04-10,1
Aklan,2020-04-11,0
Aklan,2020-04-12,0
Aklan,2020-04-13,0
Aklan,2020-04-14,0
Aklan,2020-04-15,0
Aklan,2020-04-16,0
Aklan,2020-04-17,0
Aklan,2020-04-18,0
Aklan,2020-04-19,0
Aklan,2020-04-20,0
Aklan,2020-04-21,0
Aklan,2020-04-22,0
Aklan,2020-04-23,0
Aklan,2020-04-24,0
Aklan,2020-04-25,0
Aklan,2020-04-26,0
Aklan,2020-04-27,0
Aklan,2020-04-28,0
Aklan,2020-04-29,0
Aklan,2020-04-30,0
Aklan,2020-05-01,0
Aklan,2020-05-02,0
Aklan,2020-05-03,0
Aklan,2020-05-04,0
Aklan,2020-05-05,0
Aklan,2020-05-06,1
Albay,2020-03-27,2
Albay,2020-03-28,0
Albay,2020-03-29,1
Albay,2020-03-30,0
Albay,2020-03-31,0
Albay,2020-04-01,1
Albay,2020-04-02,0
Albay,2020-04-03,4
Albay,2020-04-04,0
Albay,2020-04-05,0
Albay,2020-04-06,1
Albay,2020-04-07,0
Albay,2020-04-08,0
Albay,2020-04-09,0
Albay,2020-04-10,0
Albay,2020-04-11,1
Albay,2020-04-12,0
Albay,2020-04-13,1
Albay,2020-04-14,1
Albay,2020-04-15,1
Albay,2020-04-16,0
Albay,2020-04-17,0
Albay,2020-04-18,0
Albay,2020-04-19,0
Albay,2020-04-20,4
Albay,2020-04-21,0
Albay,2020-04-22,1
Albay,2020-04-23,5
Albay,2020-04-24,0
Albay,2020-04-25,1
Albay,2020-04-26,0
Albay,2020-04-27,0
Albay,2020-04-28,0
Albay,2020-04-29,0
Albay,2020-04-30,2
Albay,2020-05-01,3
Albay,2020-05-02,1
Albay,2020-05-03,0
Albay,2020-05-04,3
Albay,2020-05-05,0
Albay,2020-05-06,0
Albay,2020-05-07,3
Albay,2020-05-08,1
Albay,2020-05-09,1
Albay,2020-05-10,3
Albay,2020-05-11,0
Albay,2020-05-12,1
Albay,2020-05-13,0
Albay,2020-05-14,2
Antique,2020-04-10,2
Antique,2020-04-11,0
Antique,2020-04-12,0
Antique,2020-04-13,0
Antique,2020-04-14,0
Antique,2020-04-15,0
Antique,2020-04-16,0
Antique,2020-04-17,0
Antique,2020-04-18,3
Antique,2020-04-19,1
Antique,2020-04-20,3
Antique,2020-04-21,0
Antique,2020-04-22,0
Antique,2020-04-23,0
Antique,2020-04-24,0
Antique,2020-04-25,0
Antique,2020-04-26,0
Antique,2020-04-27,2
Antique,2020-04-28,0
Antique,2020-04-29,0
Antique,2020-04-30,1
Antique,2020-05-01,1
Antique,2020-05-02,0
Antique,2020-05-03,0
Antique,2020-05-04,0
Antique,2020-05-05,0
Antique,2020-05-06,1
Antique,2020-05-07,0
Antique,2020-05-08,0
Antique,2020-05-09,1
Antique,2020-05-10,0
Antique,2020-05-11,0
Antique,2020-05-12,2
Bataan,2020-03-13,1
Bataan,2020-03-14,0
Bataan,2020-03-15,0
Bataan,2020-03-16,0
Bataan,2020-03-17,0
Bataan,2020-03-18,0
Bataan,2020-03-19,0
