location,date,new_cases,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,roll_mean_7,roll_mean_14,roll_std_7,roll_max_7,roll_min_7,day_of_week,day_of_month,month,week_of_year,days_since_start
Abra,2020-03-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.0,5,28,3,13,14
Abra,2020-03-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,29,3,13,15
Abra,2020-03-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,3,14,16
Abra,2020-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31,3,14,17
Abra,2020-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,4,14,18
Abra,2020-04-02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,4,14,19
Abra,2020-04-03,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.37796447300922725,1.0,0.0,4,3,4,14,20
Abra,2020-04-04,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.37796447300922725,1.0,0.0,5,4,4,14,21
Abra,2020-04-05,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.37796447300922725,1.0,0.0,6,5,4,14,22
Abra,2020-04-06,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.37796447300922725,1.0,0.0,0,6,4,15,23
Agusan del Norte,2020-04-22,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.14285714285714285,0.37796447300922725,1.0,0.0,2,22,4,17,14
Agusan del Norte,2020-04-23,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.37796447300922725,1.0,0.0,3,23,4,17,15
Aklan,2020-04-11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14285714285714285,0.42857142857142855,0.37796447300922753,1.0,0.0,5,11,4,15,14
Aklan,2020-04-12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.37796447300922753,1.0,0.0,6,12,4,15,15
Aklan,2020-04-13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.37796447300922753,1.0,0.0,0,13,4,16,16
Aklan,2020-04-14,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.37796447300922753,1.0,0.0,1,14,4,16,17
Aklan,2020-04-15,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.37796447300922753,1.0,0.0,2,15,4,16,18
Aklan,2020-04-16,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.14285714285714285,0.21428571428571427,0.37796447300922753,1.0,0.0,3,16,4,16,19
Aklan,2020-04-17,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.21428571428571427,0.37796447300922753,1.0,0.0,4,17,4,16,20
Aklan,2020-04-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,5,18,4,16,21
Aklan,2020-04-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,6,19,4,16,22
Aklan,2020-04-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0,20,4,17,23
Aklan,2020-04-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,1,21,4,17,24
Aklan,2020-04-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,2,22,4,17,25
Aklan,2020-04-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,3,23,4,17,26
Aklan,2020-04-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.0,4,24,4,17,27
Aklan,2020-04-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25,4,17,28
Aklan,2020-04-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,26,4,17,29
Aklan,2020-04-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,4,18,30
Aklan,2020-04-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28,4,18,31
Aklan,2020-04-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29,4,18,32
Aklan,2020-04-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,4,18,33
Aklan,2020-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,5,18,34
Aklan,2020-05-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,5,18,35
Aklan,2020-05-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,5,18,36
Aklan,2020-05-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,5,19,37
Aklan,2020-05-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,19,38
Aklan,2020-05-06,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,5,19,39
Albay,2020-04-10,0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.7142857142857143,0.6428571428571429,1.4960264830861913,4.0,0.0,4,10,4,15,14
Albay,2020-04-11,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.5,0.37796447300922764,1.0,0.0,5,11,4,15,15
Albay,2020-04-12,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.2857142857142857,0.5714285714285714,0.4879500364742669,1.0,0.0,6,12,4,15,16
Albay,2020-04-13,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.5,0.4879500364742669,1.0,0.0,0,13,4,16,17
Albay,2020-04-14,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.2857142857142857,0.5714285714285714,0.4879500364742669,1.0,0.0,1,14,4,16,18
Albay,2020-04-15,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.42857142857142855,0.6428571428571429,0.534522483824849,1.0,0.0,2,15,4,16,19
Albay,2020-04-16,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.5714285714285714,0.6428571428571429,0.534522483824849,1.0,0.0,3,16,4,16,20
Albay,2020-04-17,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.5714285714285714,0.6428571428571429,0.534522483824849,1.0,0.0,4,17,4,16,21
Albay,2020-04-18,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.35714285714285715,0.534522483824849,1.0,0.0,5,18,4,16,22
Albay,2020-04-19,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42857142857142855,0.35714285714285715,0.534522483824849,1.0,0.0,6,19,4,16,23
Albay,2020-04-20,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.35714285714285715,0.534522483824849,1.0,0.0,0,20,4,17,24
Albay,2020-04-21,0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.5714285714285714,1.4638501094227998,4.0,0.0,1,21,4,17,25
Albay,2020-04-22,1,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7142857142857143,0.5714285714285714,1.4960264830861913,4.0,0.0,2,22,4,17,26
Albay,2020-04-23,5,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7142857142857143,0.6428571428571429,1.4960264830861913,4.0,0.0,3,23,4,17,27
Albay,2020-04-24,0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.4285714285714286,1.0,2.14919697074224,5.0,0.0,4,24,4,17,28
Albay,2020-04-25,1,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.4285714285714286,1.0,2.14919697074224,5.0,0.0,5,25,4,17,29
Albay,2020-04-26,0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.5714285714285714,1.0,2.0701966780270626,5.0,0.0,6,26,4,17,30
Albay,2020-04-27,0,0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.5714285714285714,1.0,2.0701966780270626,5.0,0.0,0,27,4,18,31
Albay,2020-04-28,0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286,1.8257418583505538,5.0,0.0,1,28,4,18,32
Albay,2020-04-29,0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,1.8257418583505538,5.0,0.0,2,29,4,18,33
Albay,2020-04-30,2,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.7857142857142857,1.864454471471609,5.0,0.0,3,30,4,18,34
Albay,2020-05-01,3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.42857142857142855,0.9285714285714286,0.7867957924694428,2.0,0.0,4,1,5,18,35
